127.0.0.1 - - [27/Jun/2024:20:39:11 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [27/Jun/2024:20:39:13 +0900] "GET /goming/First.jsp HTTP/1.1" 200 848
0:0:0:0:0:0:0:1 - - [27/Jun/2024:20:39:13 +0900] "GET /goming/styles/Reset.css?ver=2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jun/2024:20:39:13 +0900] "GET /goming/styles/First.css?ver=3 HTTP/1.1" 200 1718
0:0:0:0:0:0:0:1 - - [27/Jun/2024:20:39:13 +0900] "GET /goming/styles/Reset.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jun/2024:20:39:13 +0900] "GET /goming/video/4753-179739298_medium.mp4 HTTP/1.1" 206 9581294
0:0:0:0:0:0:0:1 - - [27/Jun/2024:20:39:13 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [27/Jun/2024:20:41:03 +0900] "GET /goming/Join.jsp HTTP/1.1" 200 2079
0:0:0:0:0:0:0:1 - - [27/Jun/2024:20:41:03 +0900] "GET /goming/javascripts/Join_Pagejs.js HTTP/1.1" 200 1597
0:0:0:0:0:0:0:1 - - [27/Jun/2024:20:41:03 +0900] "GET /goming/styles/Join.css?ver=3 HTTP/1.1" 200 1688
0:0:0:0:0:0:0:1 - - [27/Jun/2024:20:41:07 +0900] "POST /goming/CheckUserIdService HTTP/1.1" 200 1
87.121.69.27 - - [27/Jun/2024:20:44:11 +0900] "CONNECT google.com:443 HTTP/1.1" 501 755
